userId	geneSymbol	geneName	entrezgene	gLink
ENSMUSG00000024059	Clip4	CAP-GLY domain containing linker protein family, member 4	78785	https://www.ncbi.nlm.nih.gov/gene/?term=78785
ENSMUSG00000024145	Pigf	phosphatidylinositol glycan anchor biosynthesis, class F	18701	https://www.ncbi.nlm.nih.gov/gene/?term=18701
ENSMUSG00000024268	Celf4	CUGBP, Elav-like family member 4	108013	https://www.ncbi.nlm.nih.gov/gene/?term=108013
ENSMUSG00000024474	Ik	IK cytokine	24010	https://www.ncbi.nlm.nih.gov/gene/?term=24010
ENSMUSG00000024817	Uhrf2	ubiquitin-like, containing PHD and RING finger domains 2	109113	https://www.ncbi.nlm.nih.gov/gene/?term=109113
ENSMUSG00000024921	Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	67155	https://www.ncbi.nlm.nih.gov/gene/?term=67155
ENSMUSG00000024974	Smc3	structural maintenance of chromosomes 3	13006	https://www.ncbi.nlm.nih.gov/gene/?term=13006
ENSMUSG00000025290	Rps24	ribosomal protein S24	20088	https://www.ncbi.nlm.nih.gov/gene/?term=20088
ENSMUSG00000025591	Tma16	translation machinery associated 16	66282	https://www.ncbi.nlm.nih.gov/gene/?term=66282
ENSMUSG00000025867	Cplx2	complexin 2	12890	https://www.ncbi.nlm.nih.gov/gene/?term=12890
ENSMUSG00000026077	Npas2	neuronal PAS domain protein 2	18143	https://www.ncbi.nlm.nih.gov/gene/?term=18143
ENSMUSG00000026162	Nhej1	nonhomologous end-joining factor 1	75570	https://www.ncbi.nlm.nih.gov/gene/?term=75570
ENSMUSG00000026504	Sdccag8	serologically defined colon cancer antigen 8	76816	https://www.ncbi.nlm.nih.gov/gene/?term=76816
ENSMUSG00000026571	Dcaf6	DDB1 and CUL4 associated factor 6	74106	https://www.ncbi.nlm.nih.gov/gene/?term=74106
ENSMUSG00000026723	Trdmt1	tRNA aspartic acid methyltransferase 1	13434	https://www.ncbi.nlm.nih.gov/gene/?term=13434
ENSMUSG00000027573	Gid8	GID complex subunit 8	76425	https://www.ncbi.nlm.nih.gov/gene/?term=76425
ENSMUSG00000027886	1700013F07Rik	RIKEN cDNA 1700013F07 gene	75504	https://www.ncbi.nlm.nih.gov/gene/?term=75504
ENSMUSG00000027940	Tpm3	tropomyosin 3, gamma	59069	https://www.ncbi.nlm.nih.gov/gene/?term=59069
ENSMUSG00000028329	Xpa	xeroderma pigmentosum, complementation group A	22590	https://www.ncbi.nlm.nih.gov/gene/?term=22590
ENSMUSG00000028330	Ncbp1	nuclear cap binding protein subunit 1	433702	https://www.ncbi.nlm.nih.gov/gene/?term=433702
ENSMUSG00000029427	Zcchc8	zinc finger, CCHC domain containing 8	70650	https://www.ncbi.nlm.nih.gov/gene/?term=70650
ENSMUSG00000030443	Zfp583	zinc finger protein 583	213011	https://www.ncbi.nlm.nih.gov/gene/?term=213011
ENSMUSG00000030545	Pex11a	peroxisomal biogenesis factor 11 alpha	18631	https://www.ncbi.nlm.nih.gov/gene/?term=18631
ENSMUSG00000031148	Gpkow	G patch domain and KOW motifs	209416	https://www.ncbi.nlm.nih.gov/gene/?term=209416
ENSMUSG00000031533	Mrps31	mitochondrial ribosomal protein S31	57312	https://www.ncbi.nlm.nih.gov/gene/?term=57312
ENSMUSG00000031570	Plpp5	phospholipid phosphatase 5	71910	https://www.ncbi.nlm.nih.gov/gene/?term=71910
ENSMUSG00000031918	Mtmr2	myotubularin related protein 2	77116	https://www.ncbi.nlm.nih.gov/gene/?term=77116
ENSMUSG00000032252	Glce	glucuronyl C5-epimerase	93683	https://www.ncbi.nlm.nih.gov/gene/?term=93683
ENSMUSG00000032537	Ephb1	Eph receptor B1	270190	https://www.ncbi.nlm.nih.gov/gene/?term=270190
ENSMUSG00000032640	Chsy1	chondroitin sulfate synthase 1	269941	https://www.ncbi.nlm.nih.gov/gene/?term=269941
ENSMUSG00000032698	Lmo2	LIM domain only 2	16909	https://www.ncbi.nlm.nih.gov/gene/?term=16909
ENSMUSG00000033970	Rfc3	replication factor C (activator 1) 3	69263	https://www.ncbi.nlm.nih.gov/gene/?term=69263
ENSMUSG00000034334	Fam151b	family with sequence similarity 151, member B	73942	https://www.ncbi.nlm.nih.gov/gene/?term=73942
ENSMUSG00000035842	Ddx11	DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11	320209	https://www.ncbi.nlm.nih.gov/gene/?term=320209
ENSMUSG00000036241	Ube2r2	ubiquitin-conjugating enzyme E2R 2	67615	https://www.ncbi.nlm.nih.gov/gene/?term=67615
ENSMUSG00000036572	Upf3b	UPF3 regulator of nonsense transcripts homolog B (yeast)	68134	https://www.ncbi.nlm.nih.gov/gene/?term=68134
ENSMUSG00000037643	Prkci	protein kinase C, iota	18759	https://www.ncbi.nlm.nih.gov/gene/?term=18759
ENSMUSG00000037935	Smarce1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	57376	https://www.ncbi.nlm.nih.gov/gene/?term=57376
ENSMUSG00000038425	Poli	polymerase (DNA directed), iota	26447	https://www.ncbi.nlm.nih.gov/gene/?term=26447
ENSMUSG00000038510	Rpf2	ribosome production factor 2 homolog	67239	https://www.ncbi.nlm.nih.gov/gene/?term=67239
ENSMUSG00000038805	Six3	sine oculis-related homeobox 3	20473	https://www.ncbi.nlm.nih.gov/gene/?term=20473
ENSMUSG00000039037	St6galnac5	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5	26938	https://www.ncbi.nlm.nih.gov/gene/?term=26938
ENSMUSG00000039117	Taf4	TATA-box binding protein associated factor 4	228980	https://www.ncbi.nlm.nih.gov/gene/?term=228980
ENSMUSG00000039163	Cmc1	COX assembly mitochondrial protein 1	67899	https://www.ncbi.nlm.nih.gov/gene/?term=67899
ENSMUSG00000039210	Gpatch2	G patch domain containing 2	67769	https://www.ncbi.nlm.nih.gov/gene/?term=67769
ENSMUSG00000039536	Stau1	staufen double-stranded RNA binding protein 1	20853	https://www.ncbi.nlm.nih.gov/gene/?term=20853
ENSMUSG00000039756	Dnttip2	deoxynucleotidyltransferase, terminal, interacting protein 2	99480	https://www.ncbi.nlm.nih.gov/gene/?term=99480
ENSMUSG00000039771	Polr2j	polymerase (RNA) II (DNA directed) polypeptide J	20022	https://www.ncbi.nlm.nih.gov/gene/?term=20022
ENSMUSG00000039795	Zfand1	zinc finger, AN1-type domain 1	66361	https://www.ncbi.nlm.nih.gov/gene/?term=66361
ENSMUSG00000039987	Phtf2	putative homeodomain transcription factor 2	68770	https://www.ncbi.nlm.nih.gov/gene/?term=68770
ENSMUSG00000040220	Gas8	growth arrest specific 8	104346	https://www.ncbi.nlm.nih.gov/gene/?term=104346
ENSMUSG00000041057	Wdr43	WD repeat domain 43	72515	https://www.ncbi.nlm.nih.gov/gene/?term=72515
ENSMUSG00000041112	Elmo1	engulfment and cell motility 1	140580	https://www.ncbi.nlm.nih.gov/gene/?term=140580
ENSMUSG00000041468	Gpr12	G-protein coupled receptor 12	14738	https://www.ncbi.nlm.nih.gov/gene/?term=14738
ENSMUSG00000041777	Cir1	corepressor interacting with RBPJ, 1	66935	https://www.ncbi.nlm.nih.gov/gene/?term=66935
ENSMUSG00000041836	Ptpre	protein tyrosine phosphatase, receptor type, E	19267	https://www.ncbi.nlm.nih.gov/gene/?term=19267
ENSMUSG00000041891	Lman1	lectin, mannose-binding, 1	70361	https://www.ncbi.nlm.nih.gov/gene/?term=70361
ENSMUSG00000042167	Tent2	terminal nucleotidyltransferase 2	100715	https://www.ncbi.nlm.nih.gov/gene/?term=100715
ENSMUSG00000042446	Zmym4	zinc finger, MYM-type 4	67785	https://www.ncbi.nlm.nih.gov/gene/?term=67785
ENSMUSG00000043463	Rab9b	RAB9B, member RAS oncogene family	319642	https://www.ncbi.nlm.nih.gov/gene/?term=319642
ENSMUSG00000044148	1810030O07Rik	RIKEN cDNA 1810030O07 gene	69155	https://www.ncbi.nlm.nih.gov/gene/?term=69155
ENSMUSG00000044149	Nkrf	NF-kappaB repressing factor	77286	https://www.ncbi.nlm.nih.gov/gene/?term=77286
ENSMUSG00000045871	Slitrk6	SLIT and NTRK-like family, member 6	239250	https://www.ncbi.nlm.nih.gov/gene/?term=239250
ENSMUSG00000047989	Ino80c	INO80 complex subunit C	225280	https://www.ncbi.nlm.nih.gov/gene/?term=225280
ENSMUSG00000048170	Mcmbp	minichromosome maintenance complex binding protein	210711	https://www.ncbi.nlm.nih.gov/gene/?term=210711
ENSMUSG00000048186	Bend7	BEN domain containing 7	209645	https://www.ncbi.nlm.nih.gov/gene/?term=209645
ENSMUSG00000049184	Purg	purine-rich element binding protein G	75029	https://www.ncbi.nlm.nih.gov/gene/?term=75029
ENSMUSG00000049288	Lix1l	Lix1-like	280411	https://www.ncbi.nlm.nih.gov/gene/?term=280411
ENSMUSG00000049823	Zbtb12	zinc finger and BTB domain containing 12	193736	https://www.ncbi.nlm.nih.gov/gene/?term=193736
ENSMUSG00000050052	Tdrp	testis development related protein	72148	https://www.ncbi.nlm.nih.gov/gene/?term=72148
ENSMUSG00000050174	Nudt6	nudix (nucleoside diphosphate linked moiety X)-type motif 6	229228	https://www.ncbi.nlm.nih.gov/gene/?term=229228
ENSMUSG00000050600	Zfp831	zinc finger protein 831	100043757	https://www.ncbi.nlm.nih.gov/gene/?term=100043757
ENSMUSG00000050891	Tatdn1	TatD DNase domain containing 1	69694	https://www.ncbi.nlm.nih.gov/gene/?term=69694
ENSMUSG00000051451	Crebzf	CREB/ATF bZIP transcription factor	233490	https://www.ncbi.nlm.nih.gov/gene/?term=233490
ENSMUSG00000051579	Tceal8	transcription elongation factor A (SII)-like 8	66684	https://www.ncbi.nlm.nih.gov/gene/?term=66684
ENSMUSG00000051736	Fam229b	family with sequence similarity 229, member B	66337	https://www.ncbi.nlm.nih.gov/gene/?term=66337
ENSMUSG00000051978	Erich1	glutamate rich 1	234086	https://www.ncbi.nlm.nih.gov/gene/?term=234086
ENSMUSG00000053093	Myh7	myosin, heavy polypeptide 7, cardiac muscle, beta	140781	https://www.ncbi.nlm.nih.gov/gene/?term=140781
ENSMUSG00000054237	Fra10ac1	FRA10AC1 homolog (human)	70567	https://www.ncbi.nlm.nih.gov/gene/?term=70567
ENSMUSG00000054942	Miga1	mitoguardin 1	215708	https://www.ncbi.nlm.nih.gov/gene/?term=215708
ENSMUSG00000057367	Birc2	baculoviral IAP repeat-containing 2	11797	https://www.ncbi.nlm.nih.gov/gene/?term=11797
ENSMUSG00000058546	Rpl23a	ribosomal protein L23A	268449	https://www.ncbi.nlm.nih.gov/gene/?term=268449
ENSMUSG00000058706	0610030E20Rik	RIKEN cDNA 0610030E20 gene	68364	https://www.ncbi.nlm.nih.gov/gene/?term=68364
ENSMUSG00000059288	Cdyl	chromodomain protein, Y chromosome-like	12593	https://www.ncbi.nlm.nih.gov/gene/?term=12593
ENSMUSG00000059493	Nhs	NHS actin remodeling regulator	195727	https://www.ncbi.nlm.nih.gov/gene/?term=195727
ENSMUSG00000059669	Taf1b	TATA-box binding protein associated factor, RNA polymerase I, B	21340	https://www.ncbi.nlm.nih.gov/gene/?term=21340
ENSMUSG00000060771	Tsga10	testis specific 10	211484	https://www.ncbi.nlm.nih.gov/gene/?term=211484
ENSMUSG00000061666	Gdpd1	glycerophosphodiester phosphodiesterase domain containing 1	66569	https://www.ncbi.nlm.nih.gov/gene/?term=66569
ENSMUSG00000066189	Cacng3	calcium channel, voltage-dependent, gamma subunit 3	54376	https://www.ncbi.nlm.nih.gov/gene/?term=54376
ENSMUSG00000068130	Zfp442	zinc finger protein 442	668923	https://www.ncbi.nlm.nih.gov/gene/?term=668923
ENSMUSG00000071112	Spx	spexin hormone	319552	https://www.ncbi.nlm.nih.gov/gene/?term=319552
ENSMUSG00000074384	AI429214	expressed sequence AI429214	621080	https://www.ncbi.nlm.nih.gov/gene/?term=621080
ENSMUSG00000078784	1810022K09Rik	RIKEN cDNA 1810022K09 gene	69126	https://www.ncbi.nlm.nih.gov/gene/?term=69126
ENSMUSG00000079316	Rab9	RAB9, member RAS oncogene family	56382	https://www.ncbi.nlm.nih.gov/gene/?term=56382
ENSMUSG00000079477	Rab7	RAB7, member RAS oncogene family	19349	https://www.ncbi.nlm.nih.gov/gene/?term=19349
ENSMUSG00000089774	Slc5a3	solute carrier family 5 (inositol transporters), member 3	53881	https://www.ncbi.nlm.nih.gov/gene/?term=53881
ENSMUSG00000090935	Synj2bp	synaptojanin 2 binding protein	24071	https://www.ncbi.nlm.nih.gov/gene/?term=24071
ENSMUSG00000002997	Prkar2b	protein kinase, cAMP dependent regulatory, type II beta	19088	https://www.ncbi.nlm.nih.gov/gene/?term=19088
ENSMUSG00000005034	Prkacb	protein kinase, cAMP dependent, catalytic, beta	18749	https://www.ncbi.nlm.nih.gov/gene/?term=18749
ENSMUSG00000014195	Dnajc7	DnaJ heat shock protein family (Hsp40) member C7	56354	https://www.ncbi.nlm.nih.gov/gene/?term=56354
ENSMUSG00000014905	Dnajb9	DnaJ heat shock protein family (Hsp40) member B9	27362	https://www.ncbi.nlm.nih.gov/gene/?term=27362
ENSMUSG00000019789	Hey2	hairy/enhancer-of-split related with YRPW motif 2	15214	https://www.ncbi.nlm.nih.gov/gene/?term=15214
ENSMUSG00000019861	Gopc	golgi associated PDZ and coiled-coil motif containing	94221	https://www.ncbi.nlm.nih.gov/gene/?term=94221
ENSMUSG00000019966	Kitl	kit ligand	17311	https://www.ncbi.nlm.nih.gov/gene/?term=17311
ENSMUSG00000020074	Ccar1	cell division cycle and apoptosis regulator 1	67500	https://www.ncbi.nlm.nih.gov/gene/?term=67500
ENSMUSG00000020205	Phlda1	pleckstrin homology like domain, family A, member 1	21664	https://www.ncbi.nlm.nih.gov/gene/?term=21664
ENSMUSG00000020251	Glt8d2	glycosyltransferase 8 domain containing 2	74782	https://www.ncbi.nlm.nih.gov/gene/?term=74782
ENSMUSG00000020283	Pex13	peroxisomal biogenesis factor 13	72129	https://www.ncbi.nlm.nih.gov/gene/?term=72129
ENSMUSG00000020694	Tlk2	tousled-like kinase 2 (Arabidopsis)	24086	https://www.ncbi.nlm.nih.gov/gene/?term=24086
ENSMUSG00000020723	Cacng4	calcium channel, voltage-dependent, gamma subunit 4	54377	https://www.ncbi.nlm.nih.gov/gene/?term=54377
ENSMUSG00000020794	Ube2g1	ubiquitin-conjugating enzyme E2G 1	67128	https://www.ncbi.nlm.nih.gov/gene/?term=67128
ENSMUSG00000020849	Ywhae	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide	22627	https://www.ncbi.nlm.nih.gov/gene/?term=22627
ENSMUSG00000021701	Plk2	polo like kinase 2	20620	https://www.ncbi.nlm.nih.gov/gene/?term=20620
ENSMUSG00000021891	Mettl6	methyltransferase like 6	67011	https://www.ncbi.nlm.nih.gov/gene/?term=67011
ENSMUSG00000022052	Ppp2r2a	protein phosphatase 2, regulatory subunit B, alpha	71978	https://www.ncbi.nlm.nih.gov/gene/?term=71978
ENSMUSG00000022336	Eif3e	eukaryotic translation initiation factor 3, subunit E	16341	https://www.ncbi.nlm.nih.gov/gene/?term=16341
ENSMUSG00000022808	Snx4	sorting nexin 4	69150	https://www.ncbi.nlm.nih.gov/gene/?term=69150
ENSMUSG00000024033	Rsph1	radial spoke head 1 homolog (Chlamydomonas)	22092	https://www.ncbi.nlm.nih.gov/gene/?term=22092
ENSMUSG00000024502	Jakmip2	janus kinase and microtubule interacting protein 2	76217	https://www.ncbi.nlm.nih.gov/gene/?term=76217
ENSMUSG00000024511	Rab27b	RAB27B, member RAS oncogene family	80718	https://www.ncbi.nlm.nih.gov/gene/?term=80718
ENSMUSG00000024513	Mbd2	methyl-CpG binding domain protein 2	17191	https://www.ncbi.nlm.nih.gov/gene/?term=17191
ENSMUSG00000025905	Oprk1	opioid receptor, kappa 1	18387	https://www.ncbi.nlm.nih.gov/gene/?term=18387
ENSMUSG00000026083	Eif5b	eukaryotic translation initiation factor 5B	226982	https://www.ncbi.nlm.nih.gov/gene/?term=226982
ENSMUSG00000026356	Dars	aspartyl-tRNA synthetase	226414	https://www.ncbi.nlm.nih.gov/gene/?term=226414
ENSMUSG00000026754	Golga1	golgi autoantigen, golgin subfamily a, 1	76899	https://www.ncbi.nlm.nih.gov/gene/?term=76899
ENSMUSG00000026878	Rab14	RAB14, member RAS oncogene family	68365	https://www.ncbi.nlm.nih.gov/gene/?term=68365
ENSMUSG00000026986	Hnmt	histamine N-methyltransferase	140483	https://www.ncbi.nlm.nih.gov/gene/?term=140483
ENSMUSG00000027589	Pcmtd2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	245867	https://www.ncbi.nlm.nih.gov/gene/?term=245867
ENSMUSG00000027828	Ssr3	signal sequence receptor, gamma	67437	https://www.ncbi.nlm.nih.gov/gene/?term=67437
ENSMUSG00000027849	Syt6	synaptotagmin VI	54524	https://www.ncbi.nlm.nih.gov/gene/?term=54524
ENSMUSG00000028060	Khdc4	KH domain containing 4, pre-mRNA splicing factor	74200	https://www.ncbi.nlm.nih.gov/gene/?term=74200
ENSMUSG00000028218	Fam92a	family with sequence similarity 92, member A	68099	https://www.ncbi.nlm.nih.gov/gene/?term=68099
ENSMUSG00000028233	Tgs1	trimethylguanosine synthase 1	116940	https://www.ncbi.nlm.nih.gov/gene/?term=116940
ENSMUSG00000028278	Rragd	Ras-related GTP binding D	52187	https://www.ncbi.nlm.nih.gov/gene/?term=52187
ENSMUSG00000028397	Kdm4c	lysine (K)-specific demethylase 4C	76804	https://www.ncbi.nlm.nih.gov/gene/?term=76804
ENSMUSG00000028560	Usp1	ubiquitin specific peptidase 1	230484	https://www.ncbi.nlm.nih.gov/gene/?term=230484
ENSMUSG00000028878	Fam76a	family with sequence similarity 76, member A	230789	https://www.ncbi.nlm.nih.gov/gene/?term=230789
ENSMUSG00000029246	Ppat	phosphoribosyl pyrophosphate amidotransferase	231327	https://www.ncbi.nlm.nih.gov/gene/?term=231327
ENSMUSG00000030069	Prok2	prokineticin 2	50501	https://www.ncbi.nlm.nih.gov/gene/?term=50501
ENSMUSG00000030138	Bms1	BMS1, ribosome biogenesis factor	213895	https://www.ncbi.nlm.nih.gov/gene/?term=213895
ENSMUSG00000030509	Asb7	ankyrin repeat and SOCS box-containing 7	117589	https://www.ncbi.nlm.nih.gov/gene/?term=117589
ENSMUSG00000030795	Fus	fused in sarcoma	233908	https://www.ncbi.nlm.nih.gov/gene/?term=233908
ENSMUSG00000030967	Zranb1	zinc finger, RAN-binding domain containing 1	360216	https://www.ncbi.nlm.nih.gov/gene/?term=360216
ENSMUSG00000031198	Fundc2	FUN14 domain containing 2	67391	https://www.ncbi.nlm.nih.gov/gene/?term=67391
ENSMUSG00000031357	Syap1	synapse associated protein 1	67043	https://www.ncbi.nlm.nih.gov/gene/?term=67043
ENSMUSG00000032251	Irak1bp1	interleukin-1 receptor-associated kinase 1 binding protein 1	65099	https://www.ncbi.nlm.nih.gov/gene/?term=65099
ENSMUSG00000032257	Ankk1	ankyrin repeat and kinase domain containing 1	244859	https://www.ncbi.nlm.nih.gov/gene/?term=244859
ENSMUSG00000033417	Cacul1	CDK2 associated, cullin domain 1	78832	https://www.ncbi.nlm.nih.gov/gene/?term=78832
ENSMUSG00000033790	Tubgcp5	tubulin, gamma complex associated protein 5	233276	https://www.ncbi.nlm.nih.gov/gene/?term=233276
ENSMUSG00000033910	Gucy1a1	guanylate cyclase 1, soluble, alpha 1	60596	https://www.ncbi.nlm.nih.gov/gene/?term=60596
ENSMUSG00000033931	Rbm34	RNA binding motif protein 34	52202	https://www.ncbi.nlm.nih.gov/gene/?term=52202
ENSMUSG00000034007	Scaper	S phase cyclin A-associated protein in the ER	244891	https://www.ncbi.nlm.nih.gov/gene/?term=244891
ENSMUSG00000034795	Ccdc122	coiled-coil domain containing 122	108811	https://www.ncbi.nlm.nih.gov/gene/?term=108811
ENSMUSG00000035851	Ythdc1	YTH domain containing 1	231386	https://www.ncbi.nlm.nih.gov/gene/?term=231386
ENSMUSG00000036323	Srp72	signal recognition particle 72	66661	https://www.ncbi.nlm.nih.gov/gene/?term=66661
ENSMUSG00000036977	Anapc10	anaphase promoting complex subunit 10	68999	https://www.ncbi.nlm.nih.gov/gene/?term=68999
ENSMUSG00000039156	Stim2	stromal interaction molecule 2	116873	https://www.ncbi.nlm.nih.gov/gene/?term=116873
ENSMUSG00000040242	Fgfr1op2	FGFR1 oncogene partner 2	67529	https://www.ncbi.nlm.nih.gov/gene/?term=67529
ENSMUSG00000041986	Elmod1	ELMO/CED-12 domain containing 1	270162	https://www.ncbi.nlm.nih.gov/gene/?term=270162
ENSMUSG00000043969	Emx2	empty spiracles homeobox 2	13797	https://www.ncbi.nlm.nih.gov/gene/?term=13797
ENSMUSG00000044224	Dnajc21	DnaJ heat shock protein family (Hsp40) member C21	78244	https://www.ncbi.nlm.nih.gov/gene/?term=78244
ENSMUSG00000045973	Slc25a51	solute carrier family 25, member 51	230125	https://www.ncbi.nlm.nih.gov/gene/?term=230125
ENSMUSG00000046675	Tmem251	transmembrane protein 251	320351	https://www.ncbi.nlm.nih.gov/gene/?term=320351
ENSMUSG00000048000	Gigyf2	GRB10 interacting GYF protein 2	227331	https://www.ncbi.nlm.nih.gov/gene/?term=227331
ENSMUSG00000048251	Bcl11b	B cell leukemia/lymphoma 11B	58208	https://www.ncbi.nlm.nih.gov/gene/?term=58208
ENSMUSG00000048701	Ccdc6	coiled-coil domain containing 6	76551	https://www.ncbi.nlm.nih.gov/gene/?term=76551
ENSMUSG00000050930	Map10	microtubule-associated protein 10	74393	https://www.ncbi.nlm.nih.gov/gene/?term=74393
ENSMUSG00000052446	Zfp961	zinc finger protein 961	234413	https://www.ncbi.nlm.nih.gov/gene/?term=234413
ENSMUSG00000053825	Ppfia2	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 2	327814	https://www.ncbi.nlm.nih.gov/gene/?term=327814
ENSMUSG00000055963	Triqk	triple QxxK/R motif containing	208820	https://www.ncbi.nlm.nih.gov/gene/?term=208820
ENSMUSG00000058835	Abi1	abl-interactor 1	11308	https://www.ncbi.nlm.nih.gov/gene/?term=11308
ENSMUSG00000063446	Plppr1	phospholipid phosphatase related 1	272031	https://www.ncbi.nlm.nih.gov/gene/?term=272031
ENSMUSG00000066456	Hmgn3	high mobility group nucleosomal binding domain 3	94353	https://www.ncbi.nlm.nih.gov/gene/?term=94353
ENSMUSG00000069495	Epc2	enhancer of polycomb homolog 2	227867	https://www.ncbi.nlm.nih.gov/gene/?term=227867
ENSMUSG00000072872	Rybp	RING1 and YY1 binding protein	56353	https://www.ncbi.nlm.nih.gov/gene/?term=56353
ENSMUSG00000073293	Nudt10	nudix (nucleoside diphosphate linked moiety X)-type motif 10	102954	https://www.ncbi.nlm.nih.gov/gene/?term=102954
ENSMUSG00000096054	Syne1	spectrin repeat containing, nuclear envelope 1	64009	https://www.ncbi.nlm.nih.gov/gene/?term=64009
